# Photons/cm2/s/nm/W(of effective power),,,,,,,
Lambda,Kowal.Incandescent,Kowal.Halogen,Kowal.LED,Kowal.CFL,Kowal.UFT,Kowal.CFT,Kowal.SFT
570,4.07E+12,3.69E+12,6.62E+12,3.46E+12,2.42E+11,1.58E+11,6.38E+11
571,,,,3.13E+12,2.62E+11,1.65E+11,6.95E+11
572,4.15E+12,3.76E+12,6.84E+12,3.03E+12,3.21E+11,1.90E+11,8.59E+11
573,,,,3.21E+12,3.98E+11,2.21E+11,1.07E+12
574,4.24E+12,3.83E+12,7.07E+12,3.88E+12,4.79E+11,2.54E+11,1.28E+12
575,,,,1.69E+13,6.83E+11,4.61E+11,2.25E+12
576,4.31E+12,3.89E+12,7.27E+12,4.76E+13,1.83E+12,9.48E+11,4.85E+12
577,,,,6.54E+13,2.50E+12,1.23E+12,6.11E+12
578,4.42E+12,3.97E+12,7.53E+12,7.21E+13,2.77E+12,1.44E+12,6.90E+12
579,,,,7.59E+13,3.70E+12,1.91E+12,9.67E+12
580,4.52E+12,4.05E+12,7.77E+12,5.63E+13,4.35E+12,2.02E+12,1.07E+13
581,,,,4.46E+13,4.26E+12,2.00E+12,1.09E+13
582,4.60E+12,4.11E+12,7.99E+12,4.52E+13,4.51E+12,2.21E+12,1.24E+13
583,,,,4.97E+13,5.54E+12,2.55E+12,1.48E+13
584,4.70E+12,4.19E+12,8.23E+12,4.98E+13,5.94E+12,2.55E+12,1.49E+13
585,,,,4.98E+13,5.32E+12,2.38E+12,1.35E+13
586,4.79E+12,4.26E+12,8.45E+12,6.41E+13,5.87E+12,2.86E+12,1.61E+13
587,,,,7.31E+13,7.54E+12,3.40E+12,1.94E+13
588,4.88E+12,4.33E+12,8.65E+12,5.85E+13,7.33E+12,3.04E+12,1.74E+13
589,,,,4.07E+13,5.43E+12,2.31E+12,1.30E+13
590,4.98E+12,4.41E+12,8.86E+12,3.53E+13,4.33E+12,1.89E+12,1.06E+13
591,,,,4.36E+13,3.95E+12,1.86E+12,1.02E+13
592,5.08E+12,4.49E+12,9.05E+12,6.05E+13,4.59E+12,2.20E+12,1.21E+13
593,,,,6.53E+13,5.03E+12,2.25E+12,1.22E+13
